race_id,circuit_name,race_name,unfiltered_race_date,race_date
172,Sochi Autodrom,FORMULA 1 RUSSIAN GRAND PRIX , 11 Oct 2015,2015-10-11
173,Suzuka Circuit,FORMULA 1 JAPANESE GRAND PRIX , 27 Sep 2015,2015-09-27
174,Marina Bay Street Circuit,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX , 20 Sep 2015,2015-09-20
175,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO D'ITALIA , 06 Sep 2015,2015-09-06
176,Circuit de Spa-Francorchamps,FORMULA 1 SHELL BELGIAN GRAND PRIX , 23 Aug 2015,2015-08-23
177,Hungaroring,FORMULA 1 PIRELLI MAGYAR NAGYDÃJ , 26 Jul 2015,2015-07-26
178,Silverstone Circuit,FORMULA 1 BRITISH GRAND PRIX , 05 Jul 2015,2015-07-05
179,Red Bull Ring,FORMULA 1 GROSSER PREIS VON , 21 Jun 2015,2015-06-21
180,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA , 07 Jun 2015,2015-06-07
181,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 24 May 2015,2015-05-24
182,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO DE PIRELLI , 10 May 2015,2015-05-10
183,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 19 Apr 2015,2015-04-19
184,Shanghai International Circuit,FORMULA 1 CHINESE GRAND PRIX , 12 Apr 2015,2015-04-12
185,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIA GRAND PRIX , 29 Mar 2015,2015-03-29
186,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 15 Mar 2015,2015-03-15
187,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX , 23 Nov 2014,2014-11-23
188,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO PETROBRAS DO BRASIL , 09 Nov 2014,2014-11-09
189,Circuit of The Americas,FORMULA 1 UNITED STATES GRAND PRIX , 02 Nov 2014,2014-11-02
190,Sochi Autodrom,FORMULA 1 RUSSIAN GRAND PRIX , 21 Oct 2014,2014-10-21
191,Suzuka Circuit,FORMULA 1 JAPANESE GRAND PRIX , 05 Oct 2014,2014-10-05
192,Marina Bay Street Circuit,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX , 21 Sep 2014,2014-09-21
193,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO D'ITALIA , 07 Sep 2014,2014-09-07
194,Circuit de Spa-Francorchamps,FORMULA 1 SHELL BELGIAN GRAND PRIX , 24 Aug 2014,2014-08-24
195,Hungaroring,FORMULA 1 PIRELLI MAGYAR NAGYDÃJ , 27 Jul 2014,2014-07-27
196,Hockenheimring,FORMULA 1 GROSSER PREIS SANTANDER VON DEUTSCHLAND , 20 Jul 2014,2014-07-20
197,Silverstone Circuit,FORMULA 1 SANTANDER BRITISH GRAND PRIX , 06 Jul 2014,2014-07-06
198,Red Bull Ring,FORMULA 1 GROSSER PREIS VON , 22 Jun 2014,2014-06-22
199,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA , 08 Jun 2014,2014-06-08
200,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 25 May 2014,2014-05-25
201,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO DE PIRELLI , 11 May 2014,2014-05-11
202,Shanghai International Circuit,FORMULA 1 UBS CHINESE GRAND PRIX , 20 Apr 2014,2014-04-20
203,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 06 Apr 2014,2014-04-06
204,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIA GRAND PRIX , 30 Mar 2014,2014-03-30
205,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 16 Mar 2014,2014-03-16
206,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO DO BRASIL , 24 Nov 2013,2013-11-24
